Id,close_price,min_price,max_price,spread,volume_data,volume_inb,macd,macdsignal,macdhist,data_rsi,data_obv
10488,90.11597496416088,90.08707501329536,90.12319995187727,0.03040378199648141,5.5,0.5427748540364427,0,0,0,0,0
10489,90.12319995187727,90.12319995187727,90.12319995187727,0.015871327944606623,2.0,0.9827709924904868,0,0,0,0,0
10490,90.12229895304868,90.11746553664437,90.12425374138296,0.0035267842547455075,5.0,0.9905334653597265,0,0,0,0,0
10491,90.11913606214998,90.11665912769266,90.12425374138296,0.011299630627840429,6.0,0.3676959311973608,0,0,0,0,0
10492,90.12154965907435,90.11665912769266,90.1405741786323,0.019674448088289866,1135.0,-0.847167910041853,0,0,0,0,0
10493,90.12144213788079,90.11665912769266,90.1405741786323,0.02316671943090398,1136.0,-0.9999542382427485,0,0,0,0,0
10494,90.1166591276927,90.11665912769266,90.11665912769266,0.028364416682472894,6.0,-0.999973108214613,0,0,0,0,0
10495,90.1166591276927,90.11665912769266,90.11665912769266,0.04104886403269556,3.0,-0.9999499137939338,0,0,0,0,0
10496,90.1166591276927,90.11665912769266,90.11665912769266,0.053308930225314084,0,0.1111111111111111,0,0,0,0,0
10497,90.11022611877131,90.07806107416461,90.11665912769266,0.05551794281855725,6.0,0.9891653969866261,0,0,0,0,0
10498,90.07578618473396,90.04777925961791,90.11665912769266,0.05639278771862403,8.0,0.99490337651306,0,0,0,0,0
10499,90.03366128202866,89.9977792596179,90.04850959577965,0.060279390276830234,6.0,-0.9930650357669415,0,0,0,0,0
10500,90.03402645011013,89.9977792596179,90.04850959578114,0.054704968255398494,1203.0,-0.9999345393977868,0,0,0,0,0
10501,90.03767626244762,90.02350959578114,90.04850959578114,0.051016478173866155,1201.0,-0.9998748443106381,0,0,0,0,0
10502,90.02517626244777,90.02350959578114,90.04850959578114,0.05518314484028508,5.0,-0.9998056266458101,0,0,0,0,0
10503,90.02272155708945,90.0175993055937,90.02350959578114,0.056956231896514,4.0,-0.999804677095726,0,0,0,0,0
10504,90.01976641199575,90.0175993055937,90.02350959578114,0.05991137699022886,3.0,-0.9997762043701691,0,0,0,0,0
10505,90.01759930559369,90.0175993055937,90.0175993055937,0.0647604834532918,4.0,-0.99992993202184,0,0,0,0,0
10506,90.01567490703249,90.01235094588132,90.0175993055937,0.06482728048158416,6.0,-0.9999564597559504,0,0,0,0,0
10507,90.01305072717629,90.01235094588132,90.0175993055937,0.04104217690742758,5.0,-0.9999380737211707,0,0,0,0,0
10508,90.01737465511164,90.01235094588132,90.03118985549493,0.016053873990471836,3.0,-0.9999452407978872,0,0,0,0,0
10509,90.02679410991844,90.01235094588132,90.03118985549493,0.01812521162519687,4.0,0.17611104043115505,0,0,0,0,0
10510,90.04202060558835,90.03118985549493,90.05618389417201,0.014169249906604857,6.0,0.9999506374686525,0,0,0,0,0
10511,90.04479645771451,90.03118985549493,90.05618389417201,0.014917288147478776,1145.0,0.9999564065956821,0,0,0,0,0
10512,90.03776552256191,90.03673585743785,90.04526440881173,0.030079749673006497,3460.0,0.9998917905761185,0,0,0,0,0
10513,90.04202694709412,90.03673585743785,90.04526440881173,0.03794065994565254,2319.0,0.973531576943795,0,0,0,0,0
10514,90.04526440881176,90.04526440881173,90.04526440881173,0.05682963684145743,0,0.51943775495159,0,0,0,0,0
10515,90.01037705381714,89.94882303215586,90.04526440881173,0.06215011343833084,4.0,-0.9999692801258286,0,0,0,0,0
10516,89.96623758549954,89.92382303215585,89.99882303215587,0.06310346391362316,6.0,-0.9999508006936099,0,0,0,0,0
10517,89.96607582441929,89.92382303215585,89.98475973398713,0.05427078139036136,5.0,-0.9998845301876823,0,0,0,0,0
10518,89.97884350485452,89.96677181400237,89.98475973398713,0.02494993696422938,6.0,-0.43611392302041435,0,0,0,0,0
10519,89.9780430311671,89.9735652292871,89.98475973398713,0.018150663412433706,4.0,-0.31747539640025024,0,0,0,0,0
10520,89.97252768511193,89.96554708136978,89.9735652292871,0.023121013860721008,11.0,0.20084045178972487,0,0,0,0,0
10521,89.96851861115323,89.96554708136978,89.9735652292871,0.024823544825385114,10.0,0.03680434997664172,0,0,0,0,0
10522,89.96554708136973,89.96554708136978,89.96554708136978,0.03165824202856413,0,-0.9767588030408786,0,0,0,0,0
10523,89.96617985919323,89.96554708136978,89.97029291504585,0.042121193787727405,21.0,-0.9770514942211392,0,0,0,0,0
10524,89.96855277603126,89.96554708136978,89.97029291504585,0.03620682679014114,23.0,0.2142443517990566,0,0,0,0,0
10525,89.9675219460198,89.95858900914423,89.97029291504585,0.01975094620325469,4.0,0.4022978973948594,0,0,0,0,0
10526,89.96166999306901,89.95858900914423,89.97029291504585,0.01552751603837379,3.0,-0.9567624020887728,0,0,0,0,0
10527,89.95856393321846,89.95846362951538,89.95858900914423,0.01806596565795928,2.0,-0.9999268747224197,0,0,0,0,0
10528,89.95850124340402,89.95846362951538,89.95858900914423,0.018091041583730316,3.0,-0.9999642002423643,0,0,0,0,0
10529,89.96401160679389,89.95253676794835,89.98570024627628,0.022685265698677407,13.0,-0.8267356436592093,0,0,0,0,0
10530,89.98011293008422,89.95253676794835,90.0105303953752,0.024145992175555856,15.0,0.03281627537885321,0,0,0,0,0
10531,89.99630069951324,89.97829812370712,90.0105303953752,0.01955289037775145,6.0,0.9999010291032655,0,0,0,0,0
10532,89.99011662331876,89.97829812370712,90.0105303953752,0.03783242337184968,3.0,0.8769966771899975,0,0,0,0,0
10533,89.96829812370711,89.92829812370711,89.97829812370712,0.05707154147139733,3.0,-0.4297776273252377,0,0,0,0,0
10534,89.92913145704048,89.8782981237071,89.97829812370712,0.06667887994154616,4.0,-0.9999420929837244,0,0,0,0,0
10535,89.87451318747587,89.82072825124371,89.92829812370711,0.08352653270952856,1142.0,-0.9999637684043468,0,0,0,0,0
10536,89.8448957931915,89.82072825124371,89.87072825124622,0.06265040539364387,2263.0,-0.999970748202477,0,0,0,0,0
10537,89.82656245985771,89.7957282512437,89.84572825124371,0.02519316535986036,1125.0,-0.9998893822790411,0,0,0,0,0
10538,89.8014036566468,89.7904123953833,89.82072825124371,0.012383698320561128,5.0,-0.9998601975489511,0,0,0,0,0
10539,89.79041239538326,89.7904123953833,89.7904123953833,0.008819459774097992,4.0,-0.9999048385504149,0,0,0,0,0
