Id,price,volume,bid_price,ask_price,bid_volume,ask_volume,MM1,LC1,MT1,MRT1,NT1
0,100.45250000000001,100.0,100.82,0.0,0,0.0,0,0,0,0,0
1,100.0,100,100,0.05370986061520521,0,0.8571428571428571,0,0,0,0,0
2,100.0,100,100,0.05278345917795946,0,-0.9997661813157616,0,0,0,0,0
3,99.98083333333221,99.97499999996722,100.0,0.04945735867713002,54121.0,-0.999962600457009,0,0,0,0,0
4,99.96773986574304,99.96353663012061,99.975,0.02303795494380599,1124.0,-0.9999527126485038,0,0,0,0,0
5,99.94853663011911,99.93853663011811,99.96353663012061,0.043132836605116624,1133.0,-0.999975913148689,0,0,0,0,0
6,99.91059467380272,99.90690484909598,99.93853663011811,0.044186008994566824,3454.0,-0.9999479275708176,0,0,0,0,0
7,99.92066932811692,99.90690484909598,99.92485851738415,0.039228366958740914,3.0,-0.9999660165970555,0,0,0,0,0
8,99.9433635204988,99.92485851738415,99.97087883536267,0.028494553402189145,9.0,-0.9998862371487014,0,0,0,0,0
9,99.94837883536266,99.92087883536266,99.97087883536267,0.056353816801544096,2.0,-0.09306671144065731,0,0,0,0,0
10,99.92999331180891,99.92087883536266,99.97478455092728,0.042784237488712996,12.0,-0.8873953049118557,0,0,0,0,0
11,99.9747845509273,99.97478455092728,99.97478455092728,0.010361532875968749,0,0.9999506779350279,0,0,0,0,0
12,99.97533206788297,99.97478455092728,99.97539290310024,0.004610049719939487,1103.0,0.9999284899985735,0,0,0,0,0
13,99.97539290310027,99.97539290310024,99.97539290310024,0.00340221584032984,0,0.9999328031109238,0,0,0,0,0
14,99.98028285675642,99.97539290310024,99.98539290310137,0.02620202529860715,1117.0,0.9999691998919847,0,0,0,0,0
15,99.95819827780242,99.94134067148916,99.98024283990429,0.048386540384540905,6.0,-0.4929738620517038,0,0,0,0,0
16,99.94032289080567,99.91080725098409,99.94134067148916,0.06878888545866554,1136.0,-0.991753566685232,0,0,0,0,0
17,99.91080725098267,99.91080725098256,99.91080725098409,0.07136564764842461,1137.0,-0.988594078523645,0,0,0,0,0
18,99.91080725098256,99.91080725098256,99.91080725098256,0.08590377310896144,0,-0.9880762959131701,0,0,0,0,0
19,99.91249845516874,99.88580725097987,99.97646769008256,0.08283301327285907,2299.0,-0.8091131831561761,0,0,0,0,0
20,99.93677297570024,99.92874301964143,99.97646769008256,0.05127670078054081,6.0,0.9999817391621928,0,0,0,0,0
21,99.92874301964142,99.92874301964143,99.92874301964143,0.0572372042498382,0,0.9999581757371875,0,0,0,0,0
22,99.92562838628558,99.903553023672,99.92874301964143,0.05611416358665622,1188.0,0.825107390079072,0,0,0,0,0
23,99.91797826745714,99.9179782674571,99.9179782674571,0.012911777287951055,0,-0.9902701441536694,0,0,0,0,0
24,99.91797826745714,99.9179782674571,99.9179782674571,0.013313330884864171,0,-0.9986932841794048,0,0,0,0,0
25,99.90462226474969,99.89571826294481,99.9179782674571,0.025366750504761153,10.0,-0.9868150401598196,0,0,0,0,0
26,99.89571826294478,99.89571826294481,99.89571826294481,0.038590973919424225,0,-0.9840285291459258,0,0,0,0,0
27,99.89571826294478,99.89571826294481,99.89571826294481,0.03567950957217505,0,-0.986277894338416,0,0,0,0,0
28,99.90952381850025,99.89571826294481,99.91571826294482,0.03182638914789919,2308.0,0.9999077275560337,0,0,0,0,0
29,99.88036732901315,99.79881153777015,99.92571826294483,0.08720016847911438,1794.5,-0.5496992516179234,0,0,0,0,0
30,99.79348913147471,99.7731461881716,99.92571826294483,0.04593890724720021,1.0,-0.9602596336093049,0,0,0,0,0
31,99.76999028087357,99.74814618816973,99.77390658546628,0.027028197213450275,2373.0,-0.9912119795796562,0,0,0,0,0
32,99.73987278648879,99.70677352911802,99.74814618817159,0.07354894236293319,1109.0,-0.993774418886379,0,0,0,0,0
33,99.70677352911801,99.70677352911802,99.70677352911802,0.10803932572025209,0,-0.993993554973279,0,0,0,0,0
34,99.68344019578466,99.68177352911802,99.70677352911802,0.11137265905358618,4.0,-0.9932285570090255,0,0,0,0,0
35,99.68177352911799,99.68177352911802,99.68177352911802,0.09645296475198867,0,-0.995652976183064,0,0,0,0,0
36,99.66844019578461,99.6567735291174,99.68177352911802,0.13637265905359186,1155.0,-0.9861472860946169,0,0,0,0,0
37,99.65677352911797,99.65677352911801,99.65677352911801,0.15513362636887726,0,-0.9946506310372242,0,0,0,0,0
38,99.63841721800651,99.62006090689495,99.65677352911801,0.17356670374121658,1181.0,-0.9957853488968517,0,0,0,0,0
39,99.62006090689498,99.62006090689495,99.62006090689495,0.17858145242919932,0,-0.9937213928119363,0,0,0,0,0
40,99.70456893095147,99.61167182707517,99.80314618817161,0.1633786226147644,1168.0,0.3915248287174167,0,0,0,0,0
41,99.57027979427598,99.55361312760621,99.5786131276094,0.18494444576231547,1184.0,0.7885256582551093,0,0,0,0,0
42,99.5536131276094,99.5536131276094,99.5536131276094,0.21155896917839007,0,-0.9533957353232044,0,0,0,0,0
43,99.54524866498043,99.50361312760938,99.80314618817327,0.28953306056222344,5951.0,-0.9057276063892531,0,0,0,0,0
44,99.72448718521818,99.47861312761069,99.80314618817161,0.25662804813526063,1791.5,0.7760377438072801,0,0,0,0,0
45,99.80314618817235,99.80314618817161,99.80314618817327,0.03576375206065355,1195.0,0.9999482821253679,0,0,0,0,0
46,99.80314618817327,99.80314618817327,99.80314618817327,0.017455368064713164,0,0.9999615375410693,0,0,0,0,0
47,99.80314618817327,99.80314618817327,99.80314618817327,0.026023739707947868,0,0.9999345849414535,0,0,0,0,0
