Id,price,volume
0,99.82,0
1,99.89,0
2,100,0
3,100,0
4,100,0
5,100,0
6,100,0
7,100,0
8,100,0
9,100,0
10,100.03,1.0
11,100.03,0
12,100.03,0
13,100.03,0
14,100.03,0
15,100.03,0
16,100.03,0
17,100.03,0
18,100.03,0
19,100.03,0
20,100.03,0
21,100.03,0
22,100.03,0
23,100.03,0
24,100.03,0
25,100.03,0
26,100.03,0
27,100.03,0
28,100.06,1.0
29,100.06,0
30,100.07,3.0
31,100.07,0
32,100.07,0
33,100.07,0
34,100.07,0
35,100.07,0
36,100.07,0
37,100.07,0
38,100.07,0
39,100.07,0
40,100.07,0
41,100.07,0
42,100.07,0
43,100.07,0
44,100.07,0
45,100.07,0
46,100.07,0
47,100.07,0
48,100.07,0
49,100.07,0
50,100.07,0
51,100.07,0
52,100.07,0
53,100.07,0
54,100.07,0
55,100.07,0
56,100.07,0
57,100.07,0
58,100.07,0
59,100.07,0
60,100.08,5.0
61,100.08,0
62,100.08,0
63,100.08,0
64,100.08,0
65,100.08,0
66,100.09,32240.0
67,100.09,0
68,100.09,0
69,100.09,0
70,100.09,0
71,100.09,0
72,100.09,0
73,100.09,0
74,100.09,0
75,100.09,0
76,100.09,0
77,100.09,0
78,100.09,0
79,100.09,0
80,100.09,0
81,100.09,0
82,100.09,0
83,100.09,0
84,100.09,0
85,100.09,0
86,100.09,0
87,100.09,0
88,100.1,1137.0
89,100.1,0
90,100.1,0
91,100.1,0
92,100.1,0
93,100.1,0
94,100.1,0
95,100.1,0
96,100.1,0
97,100.1,0
98,100.1,0
99,100.1,0
100,100.06,1.5
101,100.06,0
102,100.06,0
103,100.06,0
104,100.06,0
105,100.06,0
106,100.06,0
107,100.06,0
108,100.06,0
109,100.06,0
110,100.06,0
111,100.06,0
112,100.06,0
113,100.06,0
114,100.06,0
115,100.06,0
116,100.06,0
117,100.06,0
118,100.06,0
119,100.06,0
120,100.06,0
121,100.06,0
122,100.06,0
123,100.06,0
124,100.06,0
125,100.06,0
126,100.06,0
127,100.06,0
128,100.06,0
129,100.06,0
130,100.06,0
131,100.06,0
132,100.06,0
133,100.06,0
134,100.06,0
135,100.06,0
136,100.06,0
137,100.06,0
138,100.06,0
139,100.06,0
140,100.06,0
141,100.06,0
142,100.06,0
143,100.06,0
144,100.06,0
145,100.06,0
146,100.06,0
147,100.06,0
148,100.06,0
149,100.06,0
150,100.06,0
151,100.06,0
152,100.06,0
153,100.06,0
154,100.06,0
155,100.06,0
156,100.06,0
157,100.06,0
158,100.06,0
159,100.06,0
160,100.06,0
161,100.06,0
162,100.06,0
163,100.06,0
164,100.06,0
165,100.06,0
166,100.06,0
167,100.06,0
168,100.06,0
169,100.11,49.0
170,100.11,0
171,100.11,0
172,100.11,0
173,100.11,0
174,100.11,0
175,100.11,0
176,100.11,0
177,100.11,0
178,100.11,0
179,100.11,0
180,100.03,1189.0
181,100.03,0
182,100.03,0
183,100.03,0
184,100.03,0
185,100.03,0
186,100.03,0
187,100.03,0
188,100.03,0
189,100.03,0
190,100.03,0
191,100.03,0
192,100.03,0
193,100.03,0
194,100.03,0
195,100.03,0
196,100.03,0
197,100.03,0
198,100.03,0
199,100.03,0
200,100.03,0
201,100.03,0
202,100.03,0
203,100.03,0
204,100.16,14.0
205,100.16,0
206,100.16,0
207,100.16,0
208,100.16,0
209,100.16,0
210,100.16,0
211,100.16,0
212,100.0,1175.0
213,100.0,0
214,100.0,0
215,100.0,0
216,100.0,0
217,100.0,0
218,100.0,0
219,100.0,0
220,100.0,0
221,100.0,0
222,100.0,0
223,100.0,0
224,100.0,0
225,100.0,0
226,100.0,0
227,100.0,0
228,100.0,0
229,100.0,0
230,100.0,0
231,100.0,0
232,100.0,0
233,100.0,0
234,100.0,0
235,100.0,0
236,100.0,0
237,100.21,27.0
238,100.21,0
239,100.21,0
240,100.21,0
241,100.21,0
242,100.21,0
243,100.21,0
244,100.21,0
245,100.21,0
246,100.21,0
247,100.21,0
248,100.21,0
249,100.21,0
250,100.21,0
251,100.21,0
252,100.21,0
253,100.21,0
254,100.21,0
255,100.21,0
256,100.21,0
257,100.21,0
258,100.18,1.0
259,100.18,0
260,100.18,0
261,100.18,0
262,100.18,0
263,100.18,0
264,100.18,0
265,100.18,0
266,100.18,0
267,100.18,0
268,100.18,0
269,100.18,0
270,100.18,0
271,100.18,0
272,100.18,0
273,100.18,0
274,100.18,0
275,100.18,0
276,100.18,0
277,100.18,0
278,100.18,0
279,100.18,0
280,100.18,0
281,100.18,0
282,100.18,0
283,100.18,0
284,100.18,0
285,100.18,0
286,100.18,0
287,100.18,0
288,100.18,0
289,100.18,0
290,100.18,0
291,100.18,0
292,100.18,0
293,100.18,0
294,100.18,0
295,100.18,0
296,100.18,0
297,100.18,0
298,100.18,0
299,100.18,0
300,100.18,0
301,100.18,0
302,100.24,2.0
303,100.24,0
304,100.24,0
305,100.24,0
306,100.24,0
307,100.24,0
308,100.23,9.0
309,100.23,0
310,100.23,0
311,100.23,0
312,100.23,0
313,100.23,0
314,100.23,0
315,100.23,0
316,100.23,0
317,100.23,1120.0
318,100.23,0
319,100.23,0
320,100.23,0
321,100.23,0
322,100.23,0
323,100.23,0
324,100.23,0
325,100.23,0
326,100.23,0
327,100.23,0
328,100.23,0
329,100.23,0
330,100.23,0
331,100.21,1.0
332,100.21,1188.0
333,100.21,0
334,100.21,0
335,100.21,0
336,100.21,0
337,100.21,0
338,100.21,0
339,100.21,0
340,100.21,0
341,100.21,0
342,100.19,1194.0
343,100.19,0
344,100.19,1149.0
345,100.19,0
346,100.19,0
347,100.19,0
348,100.19,0
349,100.19,0
350,100.19,0
351,100.19,0
352,100.19,0
353,100.19,0
354,100.2,1136.0
355,100.2,0
356,100.17,1.0
357,100.17,0
358,100.17,1103.0
359,100.17,0
360,100.17,0
361,100.17,0
362,100.17,0
363,100.17,0
364,100.17,0
365,100.17,0
366,100.17,0
367,100.17,0
368,100.17,0
369,100.17,0
370,100.17,0
371,100.17,0
372,100.17,0
373,100.17,0
374,100.17,0
375,100.17,0
376,100.25,6.0
377,100.25,0
378,100.25,0
379,100.25,0
380,100.25,0
381,100.25,0
382,100.25,0
383,100.25,0
384,100.25,0
385,100.25,0
386,100.25,0
387,100.25,0
388,100.25,0
389,100.25,0
390,100.25,0
391,100.25,0
392,100.25,0
393,100.25,0
394,100.21,4.0
395,100.21,0
396,100.21,0
397,100.21,0
398,100.21,0
399,100.21,0
400,100.21,0
401,100.21,0
402,100.21,0
403,100.21,0
404,100.21,0
405,100.21,0
406,100.21,0
407,100.21,0
408,100.21,0
409,100.21,0
410,100.21,0
411,100.21,0
412,100.21,0
413,100.21,0
414,100.21,0
415,100.21,0
416,100.21,0
417,100.21,0
418,100.21,0
419,100.21,0
420,100.21,0
421,100.21,0
422,100.21,0
423,100.21,0
424,100.21,0
