close,min,max,spread,volume,volume_inb,MACD,MACD_signal,MACD_hist,RSI,OBV
100.24133333333333,100.0,100.82,0.02374917637607865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.05160217615926,100.0,100.36,0.041031061396704635,2.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0
100.01765290400576,100.0,100.03115218353956,0.05144263435428134,2.0,-0.2,0.0,0.0,0.0,0.0,-2.0
100.02803696518562,100.0,100.03115218353956,0.05144768850713935,2.0,0.04,0.0,0.0,0.0,0.0,-4.0
100.03115218353956,100.03115218353956,100.03115218353956,0.05134381741254686,0.0,-0.7777777777777778,0.0,0.0,0.0,0.0,-2.0
100.03531885020625,100.03115218353956,100.05615218353957,0.058097269730262725,1.0,-0.999984927558076,0.0,0.0,0.0,0.0,-2.0
100.0436521835396,100.03115218353956,100.05615218353957,0.06979669178375142,1.0,-0.999994347647915,0.0,0.0,0.0,0.0,-1.0
100.05198551687296,100.03115218353956,100.05615218353957,0.0741601828787329,1.0,-0.9902950329275668,0.0,0.0,0.0,0.0,0.0
100.04372059960716,99.99885743174171,100.05615218353957,0.06527375473730691,57328.0,-0.21711624345716196,0.0,0.0,0.0,0.0,1.0
100.03295568234167,99.99885743174171,100.05615218353957,0.0394726047947079,57328.0,-0.04990164355241532,0.0,0.0,0.0,0.0,-57327.0
100.02219076507612,99.99885743174171,100.023857431743,0.02366547350158991,57328.0,-0.3956506773451478,0.0,0.0,0.0,0.0,-114655.0
100.02385743174302,100.023857431743,100.023857431743,0.017516396115351066,0.0,-0.9999735632508037,0.0,0.0,0.0,11.929007338905876,-171983.0
100.04135743174295,100.023857431743,100.098857431743,0.027244661811739,6.0,-0.29508488507377156,0.0,0.0,0.0,12.492062749687381,-171983.0
100.066357431743,100.023857431743,100.098857431743,0.03817695475051248,6.0,0.7831565056190366,0.0,0.0,0.0,18.566006523067617,-171977.0
100.0796907650763,100.04885743174299,100.098857431743,0.04554575530179269,7.0,0.9985903676358301,0.0,0.0,0.0,26.647601651563345,-171971.0
100.07052409840962,100.04885743174299,100.098857431743,0.054734600288408805,1.0,0.9999880139586014,0.0,0.0,0.0,30.721817736648628,-171964.0
100.05385743174295,100.04885743174299,100.098857431743,0.054734600288404066,1.0,0.9999867794234947,0.0,0.0,0.0,29.471384600383292,-171965.0
100.04354405500379,99.98421308159958,100.04885743174299,0.05787042098036797,4.0,0.9999837226285826,0.0,0.0,0.0,27.23219430216805,-171966.0
100.02199593828932,99.98421308159958,100.04885743174299,0.08409474478054951,4.0,0.9999802046705101,0.0,0.0,0.0,25.880221141266226,-171970.0
100.00128115490821,99.95921308160094,100.04885743174299,0.089725846461612,1102.0,0.3496101703568007,0.0,0.0,0.0,23.205700007685078,-171974.0
99.97671308159961,99.95921308159956,100.00921308159958,0.08073799314398258,1101.0,-0.34833541639836973,0.0,0.0,0.0,20.89880383743669,-173076.0
99.96837974826624,99.95921308159956,100.00921308159958,0.05769943269466988,1101.0,-0.8556739708794616,0.0,0.0,0.0,18.478113687477943,-174177.0
99.95021799561555,99.92066271309507,99.95921308159956,0.06209950042029012,1119.0,-0.9999760891196265,0.0,0.0,0.0,17.705212350537096,-175278.0
99.93736787278138,99.92066271309507,99.95921308159956,0.07827028048418469,1116.0,-0.9999767143418955,0.0,0.0,0.0,16.076806338110952,-176397.0
99.9245177499472,99.92066271309507,99.95921308159956,0.07106545575403089,1116.0,-0.9999833555121135,0.0,0.0,0.0,14.9927546167301,-177513.0
99.920662713097,99.92066271309696,99.92066271309696,0.06264821733291843,0.0,-0.9999780627320551,0.0,0.0,0.0,13.947764194150105,-178629.0
99.920662713097,99.92066271309696,99.92066271309696,0.05339030695394153,0.0,-0.9999603207010133,0.0,0.0,0.0,13.631070378612936,-178629.0
99.91669829266047,99.88935184206491,99.92066271309696,0.05583117933582145,1190.0,-0.9999639883232138,0.0,0.0,0.0,13.63107037861294,-178629.0
99.9062613356498,99.88935184206491,99.92066271309696,0.05934384354467994,1190.0,-0.9999454533846485,0.0,0.0,0.0,13.249136046255511,-179819.0
99.89582437863915,99.88935184206491,99.92066271309696,0.05396972451244058,1190.0,-0.9999375607462776,0.0,0.0,0.0,12.24547716751967,-181009.0
99.88935184206498,99.88935184206491,99.88935184206491,0.04215724185010004,0.0,-0.9999238147152414,0.0,0.0,0.0,11.294796883646601,-182199.0
99.88935184206498,99.88935184206491,99.88935184206491,0.030023419353337032,0.0,-0.99992757818821,0.0,0.0,0.0,10.721258295979313,-182199.0
99.88935184206498,99.88935184206491,99.88935184206491,0.035304599216128454,0.0,-0.999954058700511,0.0,0.0,0.0,10.721258295979313,-182199.0
99.88935184206498,99.88935184206491,99.88935184206491,0.04583418040111269,0.0,-0.9999699492141719,0.0,0.0,0.0,10.721258295979313,-182199.0
99.89893085246474,99.88935184206491,99.94469045806412,0.045730196440590024,10.0,-0.8096514423112153,-0.04511000605475601,-0.04033649651448615,-0.004773509540269866,10.721258295979313,-182199.0
99.9173770577978,99.88935184206491,99.94469045806412,0.0377224035724197,12.0,-0.040478500032133984,-0.04360758993978209,-0.040990715199545336,-0.002616874740236752,19.896391757922103,-182189.0
99.93582326313086,99.88935184206491,99.94469045806412,0.029028055386996716,12.0,0.9450158075336392,-0.04046203854176156,-0.04088497986798858,0.0004229413262270207,34.33545867229714,-182177.0
99.9446904580641,99.94469045806412,99.94469045806412,0.02979146499072177,2.0,0.9949612419432541,-0.036064977180089386,-0.03992097933040874,0.0038560021503193515,45.292460267015215,-182165.0
