Id,price,volume
0,99.82,0
1,99.89,0
2,100,0
3,100,0
4,100,0
5,100,0
6,100,0
7,100,0
8,100,0
9,100,0
10,100,0
11,100,0
12,100,0
13,100,0
14,100,0
15,100,0
16,100,0
17,100,0
18,100,0
19,100,0
20,100,0
21,100,0
22,100,0
23,99.99,3.0
24,99.99,0
25,99.99,0
26,99.99,0
27,99.96,61714.0
28,99.96,0
29,99.96,0
30,99.96,0
31,99.96,0
32,99.96,0
33,99.96,0
34,99.96,0
35,99.96,0
36,99.96,0
37,99.96,0
38,99.96,0
39,99.96,0
40,99.96,0
41,99.96,0
42,99.96,0
43,99.96,0
44,99.96,0
45,99.96,0
46,99.96,0
47,99.96,0
48,99.96,0
49,99.96,0
50,99.96,0
51,99.96,0
52,99.96,0
53,99.96,0
54,99.96,0
55,99.96,0
56,99.96,0
57,99.96,0
58,99.96,0
59,99.96,0
60,99.96,0
61,99.96,0
62,99.96,0
63,99.96,0
64,99.96,0
65,99.96,0
66,99.96,0
67,99.96,0
68,99.96,0
69,99.96,0
70,99.96,0
71,99.96,0
72,99.96,0
73,99.96,0
74,99.96,0
75,100.05,39.0
76,100.05,0
77,100.05,0
78,100.05,0
79,100.05,0
80,100.05,0
81,100.08,2.0
82,100.08,0
83,100.08,0
84,100.08,0
85,100.08,0
86,100.08,0
87,100.08,0
88,100.08,0
89,100.08,0
90,100.08,0
91,100.08,0
92,100.08,0
93,100.08,0
94,100.08,0
95,100.08,0
96,100.08,0
97,100.08,0
98,100.08,0
99,100.08,0
100,100.08,0
101,100.08,0
102,100.08,0
103,100.08,0
104,100.08,0
105,100.08,0
106,100.08,0
107,100.08,0
108,100.08,0
109,100.08,0
110,100.08,0
111,100.08,0
112,100.08,0
113,100.08,0
114,100.08,0
115,100.08,16.0
116,100.08,0
117,100.08,0
118,100.08,0
119,100.08,0
120,100.08,0
121,100.08,0
122,100.08,0
123,100.08,0
124,100.08,0
125,100.08,0
126,100.08,0
127,100.08,0
128,100.08,0
129,100.08,0
130,100.08,0
131,100.08,0
132,100.08,0
133,100.08,0
134,100.08,0
135,100.08,0
136,100.08,0
137,100.08,0
138,100.08,0
139,100.08,0
140,100.08,0
141,100.08,0
142,100.08,0
143,100.08,0
144,100.08,0
145,100.08,0
146,100.08,0
147,100.08,0
148,100.08,0
149,100.08,0
150,100.08,0
151,100.08,0
152,100.08,0
153,100.08,0
154,100.08,0
155,100.08,0
156,100.08,0
157,100.08,0
158,100.08,0
159,100.08,0
160,100.08,0
161,100.08,0
162,100.08,0
163,100.08,0
164,100.08,2.0
165,100.08,0
166,100.08,0
167,100.08,0
168,100.08,0
169,100.08,0
170,100.08,0
171,100.08,0
172,100.08,0
173,100.08,0
174,100.08,0
175,100.08,0
176,100.08,0
177,100.08,0
178,100.08,0
179,100.08,0
180,100.08,0
181,100.08,0
182,100.08,0
183,100.08,0
184,100.08,0
185,100.08,0
186,100.02,1206.0
187,100.02,0
188,100.02,0
189,100.02,0
190,100.02,0
191,100.02,0
192,100.02,0
193,100.02,0
194,100.02,0
195,100.02,0
196,99.99,1158.0
197,99.99,0
198,99.99,0
199,99.99,0
200,99.99,0
201,100.11,14.0
202,100.11,0
203,100.11,0
204,100.11,0
205,100.11,0
206,100.11,0
207,100.11,0
208,100.14,1111.0
209,100.14,0
210,100.14,0
211,100.1,5.0
212,100.1,0
213,100.1,0
214,100.1,0
215,100.1,0
216,100.1,0
217,100.1,0
218,100.1,0
219,100.1,0
220,100.1,0
221,100.1,0
222,100.1,0
223,100.1,0
224,100.1,0
225,100.1,0
226,100.1,0
227,100.1,0
228,100.1,0
229,100.1,0
230,100.1,0
231,100.1,0
232,100.1,0
233,100.1,0
234,100.1,0
235,100.1,0
236,100.1,0
237,100.12,1153.0
238,100.12,0
239,100.12,0
240,100.12,0
241,100.12,0
242,100.12,0
243,100.12,0
244,100.12,0
245,100.12,0
246,100.12,0
247,100.12,0
248,100.12,0
249,100.12,0
250,100.12,0
251,100.12,0
252,100.12,0
253,100.12,0
254,100.12,0
255,100.12,0
256,100.12,0
257,100.12,0
258,100.12,0
259,100.13,2.0
260,100.13,0
261,100.13,0
262,100.13,0
263,100.13,0
264,100.13,0
265,100.13,0
266,100.13,0
267,100.13,0
268,100.13,0
269,100.13,0
270,100.13,0
271,100.13,0
272,100.13,0
273,100.13,0
274,100.13,0
275,100.13,0
276,100.13,0
277,100.13,0
278,100.13,0
279,100.13,3.0
280,100.13,0
281,100.13,0
282,100.13,0
283,100.13,0
284,100.13,0
285,100.13,0
286,100.13,0
287,100.13,0
288,100.13,0
289,100.13,0
290,100.13,0
291,100.13,0
292,100.13,0
293,100.13,0
294,100.13,0
295,100.13,0
296,100.13,0
297,100.13,0
298,100.13,0
299,100.13,0
300,100.13,0
301,100.13,0
302,100.13,0
303,100.13,0
304,100.13,0
305,100.13,0
306,100.13,0
307,100.13,0
308,100.13,0
309,100.13,0
310,100.13,3.0
311,100.13,0
312,100.13,0
313,100.13,0
314,100.13,0
315,100.13,0
316,100.13,0
317,100.13,0
318,100.13,0
319,100.13,0
320,100.13,0
321,100.13,0
322,100.13,0
323,100.13,0
324,100.13,0
325,100.13,0
326,100.13,0
327,100.13,0
328,100.13,0
329,100.13,0
330,100.13,0
331,100.13,0
332,100.13,0
333,100.13,0
334,100.13,0
335,100.13,0
336,100.13,0
337,100.13,0
338,100.13,0
339,100.13,0
340,100.13,0
341,100.13,0
342,100.13,0
343,100.13,0
344,100.11,2.0
345,100.11,0
346,100.11,0
347,100.11,0
348,100.11,0
349,100.11,0
350,100.11,0
351,100.11,0
352,100.11,0
353,100.11,0
354,100.11,0
355,100.11,0
356,100.11,0
357,100.11,0
358,100.11,0
359,100.11,0
360,100.11,0
361,100.11,0
362,100.11,0
363,100.11,0
364,100.11,0
365,100.11,0
366,100.11,0
367,100.15,16.0
368,100.15,0
369,100.15,0
370,100.15,0
371,100.15,0
372,100.15,0
373,100.15,0
374,100.15,1168.0
375,100.15,0
376,100.15,0
377,100.15,0
378,100.15,0
379,100.15,0
380,100.15,0
381,100.15,0
382,100.15,0
383,100.15,0
384,100.15,0
385,100.15,0
386,100.15,0
387,100.15,0
388,100.15,0
389,100.15,0
390,100.15,0
391,100.15,0
392,100.15,0
393,100.15,0
394,100.15,0
395,100.15,0
396,100.15,0
397,100.15,0
398,100.15,0
399,100.15,0
400,100.15,0
401,100.15,0
402,100.15,0
403,100.15,0
404,100.15,0
405,100.15,0
406,100.15,0
407,100.15,0
408,100.15,0
409,100.15,0
410,100.15,0
411,100.15,0
412,100.15,0
413,100.15,0
414,100.15,0
415,100.15,0
416,100.15,0
417,100.15,0
418,100.15,0
419,100.15,0
420,100.15,0
421,100.15,0
422,100.15,0
423,100.15,0
424,100.15,0
425,100.15,0
426,100.15,0
427,100.15,0
428,100.15,0
429,100.15,0
430,100.15,0
